CustomerID,Recency,Frequency,Monetary,Frequency_log,Monetary_log,Cluster,Segment_Name
12346,326,12,77556.46,2.5649493574615367,11.258774359980725,1,Higher-Value Customers
12347,2,8,4921.53,2.1972245773362196,8.501577904958904,1,Higher-Value Customers
12348,75,5,2019.4,1.791759469228055,7.6110507905938976,1,Higher-Value Customers
12349,19,4,4428.69,1.6094379124341003,8.39608488316401,1,Higher-Value Customers
12350,310,1,334.4,0.6931471805599453,5.815323849389109,0,Lower-Value Customers
12351,375,1,300.93,0.6931471805599453,5.710195202428391,0,Lower-Value Customers
12352,36,10,2849.84,2.3978952727983707,7.9553689666784315,1,Higher-Value Customers
12353,204,2,406.76,1.0986122886681098,6.010678766031786,0,Lower-Value Customers
12354,232,1,1079.4,0.6931471805599453,6.985086621918461,0,Lower-Value Customers
12355,214,2,947.61,1.0986122886681098,6.854997755239065,0,Lower-Value Customers
12356,23,6,6371.73,1.9459101490553132,8.759783228184276,1,Higher-Value Customers
12357,33,3,18287.66,1.3862943611198906,9.814036474622236,1,Higher-Value Customers
12358,2,5,3887.07,1.791759469228055,8.265668169533484,1,Higher-Value Customers
12359,58,10,8873.39,2.3978952727983707,9.090924879587071,1,Higher-Value Customers
12360,52,8,4252.89,2.1972245773362196,8.355589137409874,1,Higher-Value Customers
12361,287,4,511.25,1.6094379124341003,6.238812787119009,0,Lower-Value Customers
12362,3,11,5356.23,2.4849066497880004,8.586202329437555,1,Higher-Value Customers
12363,110,2,552.0,1.0986122886681098,6.315358001522335,0,Lower-Value Customers
12364,8,4,1313.1,1.6094379124341003,7.180907299649593,1,Higher-Value Customers
12365,291,2,641.38,1.0986122886681098,6.465180028897591,0,Lower-Value Customers
12366,634,1,500.24,0.6931471805599453,6.217085028297085,0,Lower-Value Customers
12367,4,1,168.9,0.6931471805599453,5.135210028677887,0,Lower-Value Customers
12368,628,1,917.7,0.6931471805599453,6.822959627277421,0,Lower-Value Customers
12369,413,3,1791.15,1.3862943611198906,7.491171295388921,0,Lower-Value Customers
12370,51,7,4316.56,2.0794415416798357,8.370445706855367,1,Higher-Value Customers
12371,45,5,4067.38,1.791759469228055,8.31100016480189,1,Higher-Value Customers
12372,72,3,1298.04,1.3862943611198906,7.169380809114136,1,Higher-Value Customers
12373,311,3,1127.65,1.3862943611198906,7.028777507229587,0,Lower-Value Customers
12374,25,4,2989.22,1.6094379124341003,8.003102242273277,1,Higher-Value Customers
12375,11,2,457.5,1.0986122886681098,6.127960291696519,0,Lower-Value Customers
12376,390,2,503.15,1.0986122886681098,6.222873842839224,0,Lower-Value Customers
12377,315,4,3426.32,1.6094379124341003,8.139533893646055,1,Higher-Value Customers
12378,130,2,5416.32,1.0986122886681098,8.597356507200939,1,Higher-Value Customers
12379,82,4,1620.22,1.6094379124341003,7.390934231218893,1,Higher-Value Customers
12380,22,11,9676.3,2.4849066497880004,9.177538215743802,1,Higher-Value Customers
12381,5,5,1845.31,1.791759469228055,7.520944331624911,1,Higher-Value Customers
12383,185,5,1850.56,1.791759469228055,7.523783805985769,1,Higher-Value Customers
12384,29,2,585.27,1.0986122886681098,6.373780434317173,0,Lower-Value Customers
12385,379,1,1938.4,0.6931471805599453,7.570133925870446,0,Lower-Value Customers
12386,338,2,401.9,1.0986122886681098,5.998688392197302,0,Lower-Value Customers
